,Date,Time,Location,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground,Summary
66,1946-11-11,03:30,"Cleveland, Ohio",United Air Lines,404,Chicago - Cleveland,Douglas DC-3 (C-53D-DO),N19947,4873,20.0,2.0,0,Struck power lines and trees and crashed 500 feet short of the runway. The error of the pilot in establishing an approach toward an area not cleared for landing as a result of having mistaken the end markers of Runway 23 for those of Runway 31. A contributing factor was the failure of the pilot to abandon his attempt to land at Cleveland Airport when confronted with weather conditions below the minimums prescribed for that airport.
67,1946-11-13,03:41,"Lebec, California",Western Airlines,23,Palmdale - Burbank,Douglas C-53D-DO (DC-3),NC18645,11662,11.0,11.0,0,"The aircraft crashed into White Mountain at an elevation of  6,000 feet, in rain and 70 mph winds after being blown off course while on a heading from Palmdale to Newhall. Possible downdraft. The action of the pilot in making an instrument letdown without previously establishing a positive radio fix. This action was aggravated by conditions of severe static, wind in excess of anticipated velocities, preoccupation with an unusual amount of radio conversation, and the inoperative Newhall radio range."
68,1946-12-24,19:19,"Near San Diego, California",Western Airlines,44,Holtville - San Diego,Douglas DC-3 ( C-53D-DO),NC45395,42-68715,12.0,12.0,0,"Crashed east slope of Cuyapaipe Mountain at 6,120 ft. in San Diego County in poor weather conditions. The conduct of the flight at an altitude which would not clear obstructions, due to an error by the pilot in determining his position with respect to Laguna Mountain."
69,1946-12-28,09:19,"Michigan City, Indiana",American Airlines,2207,Buffalo - Chicago,Douglas DC-3 (C-50A-DO),N15577,4805,21.0,2.0,0,Crashed after loosing power in both engines due to fuel starvation. The accumulation of carburetor ice following the loss of power in both engines as a result of fuel starvation. The reason for fuel starvation could not be determined.
70,1946-12-28,02:09,"Near Shannon, Ireland",Trans Continental and Western Air,6963,Paris - Shannon,Lockheed 049 Consellation,NC86505,2026,23.0,13.0,0,"Crashed 1 mile from the airport on an island situated on the Fergus River. Inaccurate altimeter reading caused by the reversal of the primary and statisource lines which resulted in the pilot making his approach at too low an altitude. Also, restriction of vision from the cockpit because of fogging of an unheated windshield."
72,1947-04-28,23:13,"Near Vancouver, British Columbia, Canada",Trans Canada Air Lines,3,Lethbridge - Vancouver,Lockheed 18 Loadstar,CF-TDF,18-2248,15.0,15.0,0,"The aircraft disappeared while en route from Lethbridge, Alberta to Vancouver, British Columbia. The last known position was over Vancouver Airport. The wreckage was discovered and identified in September 1994 in a remote area, 10 miles north of Vancouver near Mt. Seymour."
73,1947-05-29,19:05,"La Guardia Airport, Queens, New York",United Air Lines,521,New York City - Cleveland,Douglas C-54B,NC30046,18324,48.0,43.0,0,"The aircraft overran the runway during an attempted takeoff, crashed and caught fire. Either the failure of the pilot to release the gust lock before take-off or his decision to discontinue the take-off because of apprehension resulting from rapid use of a short runway under a possible calm wind condition."
74,1947-05-30,17:41,"Port Deposit, Maryland",Eastern Air Lines,605,Newark - Baltimore - Miami,Douglas C-54B-15-DO,NC88814,18380,53.0,53.0,0,"While on approach to Baltimore at 4,000 ft., the plane suddenly went into a nose dive, inverted and crashed.  Possible problems with the elevator. The official cause was never determined."
75,1947-06-13,18:16,"Leesburg, Virginia",Pennsylvania Central Airlines,410,Pittsburgh - Washington D.C.,Douglas DC-4 (C-54-DO),NC88842,3112,50.0,50.0,0,"The aircraft crashed into a ridge at Lookout Rock, 8 miles SE of Charles Town, WV during a rainstorm. The action of the pilot in descending below the minimum en route altitude under conditions of weather which prevented adquate visual reference to the ground.  A contributing cause was the faulty clearance given by ATC."
76,1947-06-19,23:40,"Al Mayadin, Syria",Pan American World Airways,121,Karachi - Istanbul,Lockheed 049-46-21 Constellation,NC88845,2045,36.0,14.0,0,"While on a flight originating in New York and making its inaugural westbound flight of round-the-world service, the aircraft's No. 1 engine failed half-way on a leg from Karachi to Istanbul. Due to closed airports and inadequate repair facilities, the pilot chose to continue to its destination. Several hours later, the remaining engines overheated and the No.2 engine caught fire causing the plane to crash. Gene Roddenberry (creator of Star Trek) was a deadheading Pan Am pilot aboard, who helped rescue many of the passengers.  The crash was blamed on Pan Am's failure to replace the No. 2 engine which had experienced several problems earlier.  A fire which resulted from an attempt to feather the No. 2 propeller after the failure of the No. 2 engine thrust bearing. The aircraft was named Clipper Eclipse."
77,1947-08-10,07:55,"Near El Paso, Texas",American Airlines,311,New York City - Dallas - Los Angeles,Douglas DC-4,NC90432,10314/DC45,54.0,0.0,0,"While cruising at 8,000 ft. in clear weather, the aircraft went into steep dive which the co-pilot was able to pull out of at 350 feet from the ground.  As a prank, a captain riding in the jump seat, engaged the gust lock in flight. The command pilot, not knowing the gust lock was engaged, rolled the elevator trim tab with no response. When the jump seat captain disengaged the gust lock,the aircraft went into a steep dive, executed part of an outside roll and become inverted. Neither the command nor jump seat captain had seat belts on and they accidentally feathered No. 1, 2 and 4 engines when they hit the controls with their heads.  No one realized it at the time but the feathering reduced power and allowed the co-pilot, who was strapped in, to pull out of the dive."
78,1947-10-24,12:29,"Bryce Canyon, Utah",United Air Lines,608,Los Angeles - New York City,Douglas DC-6,NC37510,42875/17,53.0,53.0,0,"Fire was reported on board the aircraft before it crashed.  An almost identical accident with the same cause occurred on 11/11/47. The flight crew transferred fuel either intentionally or inadvertently from the No. 4 alternate tanks to the No. 3 alternate tanks and failed to stop the transfer process in time to avoid overflowing the No. 3 alternate tank. Gasoline flowed through the No. 3 alternate vent line, out the vent, and was carried back by the slip stream, entering the cabin heater combustion air intake scoop. When the cabin heater came on an explosion and fire  occurred. The fire was fueled by magnesium flares strored in the cabin heater compartment. Caused by a design flaw in the aircraft which allowed vented fuel to be carried back into the cabin heater air intake."
79,1947-10-26,13:45,"Annette Island, Alaska",Pan American World Airways,923,Seattle - Juneau,Douglas DC-4A,NC88920,10317,18.0,18.0,0,The aircraft crashed into Tamgas Mountain after abandoning an approach to Annette Island because of extreme turbulence and radioing its intentions to proceed to Juneau. Possible severe turbulence or icing. Official cause unknown. The aircraft was named Clipper Talisman II.
80,1947-10-26,17:20,"Near Mt. Hymettus, Greece",AB Aerotransport,1629,Istanbul-Athens-Rome-Geneve-Copenhagen-Stockholm,Douglas DC-4-1009,SE-BBG,42930/45,44.0,44.0,0,"The aircraft crashed into Mt. Hymettus while on approach to Hassani Airport in a severe rainstorm. The captain, John Douglas, probably tried to force the landing due to the weather conditions, when the belly of the aircraft hit the summit, resulting in loss of control, crash and fire. The pilot did not properly follow IFR procedures. The wreckage was found the next morning with the corpses of the victims plundered (the victim's pockets were found to be turned inside-out). The aircraft was named 'Sunnan.'"
81,1947-11-30,14:25,"Seattle, Washington",Alaska Airlines,009,Anchorage - Seattle,Douglas C-54A,NC-91009,7453,28.0,8.0,1,"The plane attempted to land at Boeing Field but aborted the landing because of low ceiling and visibility. During a second landing attempt, the aircraft touched down 2,748 feet beyond the approach end of Runway 20, ran past the end of the runway, hit an automobile killing one person, crashed into a ditch and burst into flames. Caused by the landing of the airplane too far from the approach end of a wet runway and at a speed too great to accomplish a full stop on the runway."
71,1947-12-01,01:38,"Near Galax, Virginia",Eastern Air Lines,665,"Akron, OH - Winston/Salem, NC",Douglas DC-3,NC88872,3274,19.0,18.0,0,"The aircraft flew into the ground at an altitude of 2,500 ft., 63 miles northwest of Winston-Salem. The pilot took an unapproved route and let down without having positively determined the position of the aircraft.  A contributing factor was the erroneous navigation of the pilot which on at least two occasions led him to believe that he was farther south than he actually was."
82,1948-01-13,04:36,"Oxon Hill, Maryland",Eastern Air Lines,572,Atlanta - Washington D.C.,Douglas DC-3-201F,NC28384,4092,9.0,5.0,0,"The aircraft crashed during approach, 5.2 miles short of the runway, in poor weather conditions. Failure of the crew to follow prescribed  procedures and maintain a safe altitude during an ILS approach."
85,1948-04-15,02:35,"Shannon, Ireland",Pan American World Airways,1-10,Belgium - Shannon,Lockheed L-049-46 Constellation,NC-88858,2058,31.0,30.0,0,"While executing a second instrument approach at Shannon Airport, the aircraft struck the ground 2,380 feet from the approach end of the intended runway, broke apart and burned. Continuation of an instrument approach to an altitude insufficient to clear the terrain. The failure of a fluorescent light may have been a contributing cause. The plane was named Clipper Empress of the Skies."
86,1948-06-17,12:41,"Mount Carmel, Pennsylvania",United Air Lines,624,Chicago - New York City,Douglas DC-6,NC37506,42871/12,43.0,43.0,0,"The plane crashed after an in-flight fire in cargo hold. The crew discharged carbon dioxide extinguishers into the cargo hold in response to the fire warning. When the plane's nose was lowered for an emergency descent, the carbon dioxide, being heavier than air, accumulated in the cockpit and asphyxiated the crew.  The aircraft crashed through high voltage lines and exploded on a hillside. After the crashes of 10/24/47 and 11/11/47, were a design flaw allowed vented fuel to enter the intake for the cabin heating system, the CAA also ordered carbon dioxide extinguishers installed. Earl Carroll,  U.S. theatrical impresario killed. Douglas aircraft company knew of the carbon dioxide danger after two of its test pilots were almost overcome during test flights. They suppressed reports to the CAA which resulted in only a warning being added to the flight manual. The aircraft was named Mainliner Utah."
